name,rank,key,name_type,higher_taxon,higher_taxon_id,extinct,sound production,lifestage,sex,mechanism,F,S,frequency range,behavioural context,reference
Amphizoa davidi,species,1044385,canonicalname,Amphizoa,1044383,NA,S,adult,NA,"F : Wing patch, S : elytra",Wing,elytra,NA,NA,Arrow 1924
Amphizoa insolens,species,1044389,canonicalname,Amphizoa,1044383,NA,S,adult,NA,"F : Wing patch, S : elytra",Wing,elytra,NA,NA,Arrow 1924
Amphizoa lecontei,species,1044386,canonicalname,Amphizoa,1044383,NA,S,adult,NA,"F : Wing patch, S : elytra",Wing,elytra,NA,NA,Arrow 1924
Amphizoa sinica,species,1044393,canonicalname,Amphizoa,1044383,NA,S,adult,NA,"F : Wing patch, S : elytra",Wing,elytra,NA,NA,Arrow 1924
Amphizoa striata,species,1044384,canonicalname,Amphizoa,1044383,NA,S,adult,NA,"F : Wing patch, S : elytra",Wing,elytra,NA,NA,Arrow 1924
Acilius abbreviatus,species,1038046,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius athabascae,species,1038048,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius caliginosus,species,6994967,canonicalname,Acilius,9128319,NA,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius canaliculatus,species,4470284,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius cinereus,species,8224893,canonicalname,Acilius,9128319,NA,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius confusus,species,5873985,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius duvergeri,species,"10916885, 4470288",canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius fraternus,species,1038049,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius japonicus,species,5873983,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius kishii,species,5873986,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius mediatus,species,1038044,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius semisulcatus,species,1038045,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius sinensis,species,6002021,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Acilius sulcatus,species,4470286,canonicalname,Acilius,9128319,FALSE,Y,adult,both,muscle contraction,abdomen,elytra,0.2- NA,preparation for flight,Leston et al. 1965
Acilius sylvanus,species,1038047,canonicalname,Acilius,9128319,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Marku 1936
Agabus abaensis,species,8582936,canonicalname,Agabus,1037928,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Larson & Pritchard 1974
Agabus abessinicus,species,6002002,canonicalname,Agabus,1037928,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Larson & Pritchard 1974
Agabus adpressus,species,1037966,canonicalname,Agabus,1037928,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Larson & Pritchard 1974
Agabus adustus,species,6002015,canonicalname,Agabus,1037928,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Larson & Pritchard 1974
Agabus aequabilis,species,6001976,canonicalname,Agabus,1037928,FALSE,S,adult,NA,"F : Costal vein, S : elytra",abdomen,elytra,NA,NA,Larson & Pritchard 1974
